DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,5,35,1,3,ContrastLighting,low,4995,0
Touchstone2,5,36,1,2,ContrastLighting,medium,5707,0
Touchstone2,5,37,1,3,ContrastLighting,low,4570,0
Touchstone2,5,38,2,3,lighting,low,2946,0
Touchstone2,5,39,3,1,Contrast,high,2919,0
Touchstone2,5,40,1,1,ContrastLighting,high,5130,0
Touchstone2,5,41,3,2,Contrast,medium,2544,0
Touchstone2,5,42,2,2,lighting,medium,4620,0
Touchstone2,5,43,3,3,Contrast,low,3740,0
Touchstone2,5,44,3,2,Contrast,medium,2843,0
Touchstone2,5,45,1,3,ContrastLighting,low,4784,0
Touchstone2,5,46,1,1,ContrastLighting,high,4015,0
Touchstone2,5,47,3,3,Contrast,low,2719,0
Touchstone2,5,48,3,1,Contrast,high,3034,0
Touchstone2,5,49,2,1,lighting,high,3648,0
Touchstone2,5,50,2,2,lighting,medium,3726,0
Touchstone2,5,51,2,3,lighting,low,3329,0
Touchstone2,5,52,2,1,lighting,high,2632,0
Touchstone2,5,53,3,2,Contrast,medium,2359,0
Touchstone2,6,0,1,1,Contrast,low,2334,0
Touchstone2,6,1,3,2,lighting,high,2564,0
Touchstone2,6,2,3,2,lighting,high,17174,0
Touchstone2,6,3,1,3,Contrast,medium,1981,0
Touchstone2,6,4,1,2,Contrast,high,1795,0
Touchstone2,6,5,2,2,ContrastLighting,high,6624,0
Touchstone2,6,6,1,1,Contrast,low,1355,0
Touchstone2,6,7,3,1,lighting,low,1616,0
Touchstone2,6,8,1,3,Contrast,medium,2153,0
Touchstone2,6,9,2,2,ContrastLighting,high,8137,0
Touchstone2,6,10,3,2,lighting,high,2528,0
Touchstone2,6,11,3,1,lighting,low,1323,0
Touchstone2,6,12,2,3,ContrastLighting,medium,1970,0
Touchstone2,6,13,1,1,Contrast,low,1597,0
Touchstone2,6,14,2,2,ContrastLighting,high,5259,0
Touchstone2,6,15,2,3,ContrastLighting,medium,3620,0
Touchstone2,6,16,1,2,Contrast,high,1816,0
Touchstone2,6,17,2,1,ContrastLighting,low,2228,0
Touchstone2,6,18,1,2,Contrast,high,1404,0
Touchstone2,6,19,3,3,lighting,medium,1872,0
Touchstone2,6,20,3,1,lighting,low,1377,0
Touchstone2,6,21,2,2,ContrastLighting,high,3651,0
Touchstone2,6,22,2,2,ContrastLighting,high,6737,0
Touchstone2,6,23,3,3,lighting,medium,2861,0
Touchstone2,6,24,1,2,Contrast,high,1243,0
Touchstone2,6,25,2,1,ContrastLighting,low,1588,0
